Component,yi,Tci,Pci,wi
C1,0.7,343.33,666.4,0.0104
C2,0.05,549.92,706.5,0.0989
C3,0.05,666.06,616.4,0.1522
C4,0.04,765.62,527.9,0.1852
C5,0.04,845.8,488.6,0.228
C6,0.02,923,453,0.25
C7+,0.1,1160,285,0.5721
